Name,Address,City,State,Zip Code,Phone Number,Full Address,Rating,Review Count,URL
Linden House Apartments,88 Clinton Pl,Hackensack,NJ,07601,+1-201-489-4240,"88 Clinton Pl,Hackensack, NJ 07601",2.0,2,http://www.yelp.com/biz/linden-house-apartments-hackensack
Palmer Hse Apts,609 Palmer Rd,Yonkers,NY,10701,+1-914-337-2452,"609 Palmer Rd,Yonkers, NY 10701",5.0,1,http://www.yelp.com/biz/palmer-hse-apts-yonkers
Elmwood Village,24 Blvd A,Elmwood Park,NJ,07407,+1-866-652-0845,"24 Blvd A,Elmwood Park, NJ 07407",2.0,2,http://www.yelp.com/biz/elmwood-village-elmwood-park
Talleyrand Apartments,1202 Crescent Drive,Tarrytown,NY,10591,+1-914-333-0123,"1202 Crescent Drive,Tarrytown, NY 10591",2.5,2,http://www.yelp.com/biz/talleyrand-apartments-tarrytown
Karl Place Apartments,1 Karl Pl,Garfield,NJ,07026,+1-201-796-3555,"1 Karl Pl,Garfield, NJ 07026",1.0,1,http://www.yelp.com/biz/karl-place-apartments-garfield
TF Cornerstone,Hudson Yards,New York,NY,10018,+1-212-842-0968,"Hudson Yards,505 W 37th Street,Midtown West,New York, NY 10018",3.5,8,http://www.yelp.com/biz/tf-cornerstone-new-york-20
SDK Prospect Towers,9 Polifly Rd,Hackensack,NJ,07601,+1-201-343-5133,"9 Polifly Rd,Hackensack, NJ 07601",1.0,3,http://www.yelp.com/biz/sdk-prospect-towers-hackensack
Misrahi Realty Corporation,88 Rivington St,New York,NY,10002,+1-212-475-6660,"88 Rivington St,Lower East Side,New York, NY 10002",4.0,46,http://www.yelp.com/biz/misrahi-realty-corporation-new-york
Briar Oaks,4525 Henry Hudson Parkway Apt 1207,Bronx,NY,10471,+1-718-548-4283,"4525 Henry Hudson Parkway Apt 1207,Riverdale,Bronx, NY 10471",5.0,1,http://www.yelp.com/biz/briar-oaks-bronx
Brownstone Apartments,36 Union Ave,Little Falls,NJ,07424,+1-973-256-5776,"36 Union Ave,Little Falls, NJ 07424",4.0,1,http://www.yelp.com/biz/brownstone-apartments-little-falls
Northbridge Park Co-Op,2200 N Central Rd,Fort Lee,NJ,07024,+1-201-947-4646,"2200 N Central Rd,Fort Lee, NJ 07024",5.0,1,http://www.yelp.com/biz/northbridge-park-co-op-fort-lee
Westchester Towers Owners,1853 Central Park Ave,Yonkers,NY,10710,+1-914-793-0891,"1853 Central Park Ave,Yonkers, NY 10710",1.0,1,http://www.yelp.com/biz/westchester-towers-owners-yonkers
TF Cornerstone,455 W 37th St,New York,NY,10018,+1-212-842-0968,"455 W 37th St,Midtown West,New York, NY 10018",3.5,4,http://www.yelp.com/biz/tf-cornerstone-new-york-14
Donald Nuckel & Company,10 River Street Ext,Little Ferry,NJ,07643,+1-201-641-4154,"10 River Street Ext,Little Ferry, NJ 07643",1.0,2,http://www.yelp.com/biz/donald-nuckel-and-company-little-ferry-2
Maidly,663 3rd Ave,Brooklyn,NY,11232,+1-347-435-2120,"663 3rd Ave,South Slope,Brooklyn, NY 11232",1.5,6,http://www.yelp.com/biz/maidly-complete-cleaning-brooklyn
TF Cornerstone,2 Gold St,New York,NY,10038,+1-212-222-4653,"2 Gold St,Financial District,New York, NY 10038",2.5,14,http://www.yelp.com/biz/tf-cornerstone-new-york-21
Glenwood Luxury Rentals,600 & 630 W 246th St,Riverdale,NY,10471,+1-718-796-3232,"600 & 630 W 246th St,Riverdale,Riverdale, NY 10471",1.0,1,http://www.yelp.com/biz/glenwood-luxury-rentals-riverdale-2
"Englewood Village, LLC",240 E Palisade Ave,Englewood,NJ,07631,+1-201-568-4247,"240 E Palisade Ave,Englewood, NJ 07631",3.0,1,http://www.yelp.com/biz/englewood-village-llc-englewood
Country Club Towers,140 Hepburn Rd,Clifton,NJ,07012,+1-973-777-1400,"140 Hepburn Rd,Clifton, NJ 07012",3.5,4,http://www.yelp.com/biz/country-club-towers-clifton
Ideal Properties Group,78 7th Ave,Brooklyn,NY,11217,+1-718-840-2757,"78 7th Ave,Park Slope,Brooklyn, NY 11217",3.0,43,http://www.yelp.com/biz/ideal-properties-group-brooklyn
Lombardo C J,335 Main St,Hackensack,NJ,07601,+1-201-488-2550,"335 Main St,Hackensack, NJ 07601",1.0,1,http://www.yelp.com/biz/lombardo-c-j-hackensack
Rapid Realty,231 Eldridge St,New York,NY,10002,+1-917-971-4049,"231 Eldridge St,Lower East Side,New York, NY 10002",3.0,14,http://www.yelp.com/biz/rapid-realty-new-york-2
TF Cornerstone,45 Wall St,New York,NY,10005,+1-212-797-7000,"45 Wall St,Financial District,New York, NY 10005",2.5,8,http://www.yelp.com/biz/tf-cornerstone-new-york-22
Rockrose Development,666 5th Ave,New York,NY,10103,+1-212-847-3700,"666 5th Ave,Midtown West,New York, NY 10103",1.0,2,http://www.yelp.com/biz/rockrose-development-new-york-7
Westmount Village,213 Overmount Ave,Woodland Park,NJ,07424,+1-973-256-9573,"213 Overmount Ave,Woodland Park, NJ 07424",1.0,1,http://www.yelp.com/biz/westmount-village-woodland-park
Today Realty Corp,1934 Williamsbridge Rd,Bronx,NY,10461,+1-718-597-1777,"1934 Williamsbridge Rd,Morris Park,Bronx, NY 10461",5.0,6,http://www.yelp.com/biz/today-realty-corp-bronx-2
Castle Village,180 Cabrini Blvd,New York,NY,10033,+1-212-923-2121,"180 Cabrini Blvd,Washington Heights,New York, NY 10033",5.0,1,http://www.yelp.com/biz/castle-village-new-york
Richfield Village Apartments,168A Richfield Ter,Clifton,NJ,07012,+1-862-290-3038,"168A Richfield Ter,Clifton, NJ 07012",1.0,4,http://www.yelp.com/biz/richfield-village-apartments-clifton
Tarrytown Real Estate,1 Neperan Rd Ste 100,Tarrytown,NY,10591,+1-914-631-2132,"1 Neperan Rd Ste 100,Tarrytown, NY 10591",1.0,3,http://www.yelp.com/biz/tarrytown-real-estate-tarrytown
Great Notch Village Assoc,1 Rustic Ridge Rd,Little Falls,NJ,07424,+1-973-256-9038,"1 Rustic Ridge Rd,Little Falls, NJ 07424",3.0,1,http://www.yelp.com/biz/great-notch-village-assoc-little-falls
Rockland Holiday Court Motel,30 N Rte 9W,Congers,NY,10920,+1-845-268-3300,"30 N Rte 9W,Congers, NY 10920",1.0,1,http://www.yelp.com/biz/rockland-holiday-court-motel-congers
TF Cornerstone,Chelsea Centro,New York,NY,10001,+1-212-425-0200,"Chelsea Centro,200 W 26th Street,Chelsea,New York, NY 10001",2.0,1,http://www.yelp.com/biz/tf-cornerstone-new-york-25
Metropolitan Property Group,184 5th Ave,New York,NY,10010,+1-212-353-2003,"184 5th Ave,3rd Floor,Flatiron,New York, NY 10010",2.0,45,http://www.yelp.com/biz/metropolitan-property-group-new-york
Fishman Isadore,4420 Broadway,New York,NY,10040,+1-212-942-1700,"4420 Broadway,Washington Heights,New York, NY 10040",3.0,6,http://www.yelp.com/biz/fishman-isadore-new-york
Linda Rose - Samson Management,300 Hayward Ave,Mount Vernon,NY,10552,+1-914-664-5000,"300 Hayward Ave,Mount Vernon, NY 10552",1.0,1,http://www.yelp.com/biz/linda-rose-samson-management-mount-vernon
Kennedy Gardens,158 Kennedy Dr,Lodi,NJ,07644,+1-201-773-6578,"158 Kennedy Dr,Lodi, NJ 07644",1.0,1,http://www.yelp.com/biz/kennedy-gardens-lodi
Donald Nuckel & Company,281 Liberty St,Little Ferry,NJ,07643,+1-201-641-9253,"281 Liberty St,Little Ferry, NJ 07643",3.0,1,http://www.yelp.com/biz/donald-nuckel-and-company-little-ferry-3
Top Quality Apartments,201 Wadsworth Ave,New York,NY,10033,+1-212-928-8600,"201 Wadsworth Ave,Washington Heights,New York, NY 10033",1.0,6,http://www.yelp.com/biz/top-quality-apartments-new-york
The Avalon,125 Parkway Rd,Bronxville,NY,10708,+1-914-202-2393,"125 Parkway Rd,Bronxville, NY 10708",2.0,1,http://www.yelp.com/biz/the-avalon-bronxville
Brooklawn Gardens,1278A Valley Rd,Wayne,NJ,07470,+1-973-696-4931,"1278A Valley Rd,Wayne, NJ 07470",2.0,2,http://www.yelp.com/biz/brooklawn-gardens-wayne
Waterside Village,1 Valley Rd,Little Ferry,NJ,07643,+1-201-641-3133,"1 Valley Rd,Little Ferry, NJ 07643",3.0,1,http://www.yelp.com/biz/waterside-village-little-ferry-2
WayfinderPM,46 Trinity Place,New York,NY,10006,+1-212-330-8000,"46 Trinity Place,Suite 200,Financial District,New York, NY 10006",3.5,3,http://www.yelp.com/biz/wayfinderpm-new-york
Hudson 192,700 W 192nd St,New York,NY,10040,+1-718-463-1200,"700 W 192nd St,Washington Heights,New York, NY 10040",2.0,1,http://www.yelp.com/biz/hudson-192-new-york
Mediterranean Towers South,2000 Linwood Ave Ste 1C,Fort Lee,NJ,07024,+1-201-944-4706,"2000 Linwood Ave Ste 1C,Fort Lee, NJ 07024",1.0,1,http://www.yelp.com/biz/mediterranean-towers-south-fort-lee-2
Miron Properties,982 Manhattan Ave,Brooklyn,NY,11222,+1-718-444-6444,"982 Manhattan Ave,Greenpoint,Brooklyn, NY 11222",5.0,19,http://www.yelp.com/biz/miron-properties-brooklyn
Manhattan Connection,969 3rd Ave,New York,NY,10022,+1-212-688-9090,"969 3rd Ave,Midtown East,New York, NY 10022",3.0,14,http://www.yelp.com/biz/manhattan-connection-new-york-2
265 Cabrini Blvd,TMC of NY Inc,Manhattan,NY,10040,+1-212-245-5872,"TMC of NY Inc,265 Cabrini Blvd,Washington Heights,Manhattan, NY 10040",2.0,1,http://www.yelp.com/biz/265-cabrini-blvd-manhattan
Winchester Apts,900 Palmer Rd,Bronxville,NY,10708,+1-914-337-0309,"900 Palmer Rd,Bronxville, NY 10708",1.0,1,http://www.yelp.com/biz/winchester-apts-bronxville
Washington Towers,507 W 184th St,New York,NY,10033,+1-212-444-9967,"507 W 184th St,Washington Heights,New York, NY 10033",1.0,1,http://www.yelp.com/biz/washington-towers-new-york
East Chester Heights,3474 Seymour Ave,Bronx,NY,10469,+1-718-708-4781,"3474 Seymour Ave,Williamsbridge,Bronx, NY 10469",1.0,1,http://www.yelp.com/biz/east-chester-heights-bronx
Wayne Village,1353 Valley Rd,Wayne,NJ,07470,+1-973-696-2366,"1353 Valley Rd,Apt A,Wayne, NJ 07470",2.5,2,http://www.yelp.com/biz/wayne-village-wayne
Cedar Village,1327B Pompton Ave,Cedar Grove,NJ,07009,+1-973-256-8880,"1327B Pompton Ave,Cedar Grove, NJ 07009",1.0,1,http://www.yelp.com/biz/cedar-village-cedar-grove
Gladys Collins Realty,2190 Boston Rd,Bronx,NY,10462,+1-347-281-8800,"2190 Boston Rd,Ste 1M,Bronx, NY 10462",1.0,2,http://www.yelp.com/biz/gladys-collins-realty-bronx
Rose Reality Company,30 2nd St,Hackensack,NJ,07601,+1-201-342-6507,"30 2nd St,Hackensack, NJ 07601",1.0,1,http://www.yelp.com/biz/rose-reality-company-hackensack
Wayco Realty,3664 White Plains Road,Bronx,NY,10467,+1-718-655-6700,"3664 White Plains Road,Williamsbridge,Bronx, NY 10467",1.0,1,http://www.yelp.com/biz/wayco-realty-bronx
Sparta Green Apartment,111 S Highland Ave,Ossining,NY,10562,+1-914-941-0077,"111 S Highland Ave,Ossining, NY 10562",1.0,3,http://www.yelp.com/biz/sparta-green-apartment-ossining
Coldwell Banker Reliable,7428 Fifth Ave,Brooklyn,NY,11209,+1-718-921-3100,"7428 Fifth Ave,Bay Ridge,Brooklyn, NY 11209",3.0,5,http://www.yelp.com/biz/coldwell-banker-reliable-brooklyn
Latham Square Apartments,2250 Latham St,Mountain View,CA,94040,+1-650-967-0101,"2250 Latham St,Mountain View, CA 94040",4.5,9,http://www.yelp.com/biz/latham-square-apartments-mountain-view
Carmel The Village Apartments,555 San Antonio Rd,Mountain View,CA,94040,+1-855-436-9340,"555 San Antonio Rd,Mountain View, CA 94040",3.5,33,http://www.yelp.com/biz/carmel-the-village-apartments-mountain-view
Stanford Garden Apartments,1735 Woodland Ave,E. Palo Alto,CA,94303,+1-650-324-2231,"1735 Woodland Ave,E. Palo Alto, CA 94303",3.0,15,http://www.yelp.com/biz/stanford-garden-apartments-e-palo-alto
Southwood Apartments,2850 Middlefield Road,Palo Alto,CA,94306,+1-650-322-1112,"2850 Middlefield Road,Palo Alto, CA 94306",3.0,9,http://www.yelp.com/biz/southwood-apartments-palo-alto-2
Woodland Park Apartments,45 Newell Rd,East Palo Alto,CA,94303,+1-650-566-2020,"45 Newell Rd,East Palo Alto, CA 94303",1.5,34,http://www.yelp.com/biz/woodland-park-apartments-east-palo-alto-3
The Avant,4041 El Camino Way,Palo Alto,CA,94306,+1-650-320-8626,"4041 El Camino Way,Palo Alto, CA 94306",5.0,1,http://www.yelp.com/biz/the-avant-palo-alto
Curtner Square Apartments,250 Curtner Ave Apt 32,Palo Alto,CA,94306,+1-650-493-8670,"250 Curtner Ave Apt 32,Palo Alto, CA 94306",4.5,2,http://www.yelp.com/biz/curtner-square-apartments-palo-alto
Madera Apartments,455 W Evelyn Ave,Mountain View,CA,94041,+1-877-655-6157,"455 W Evelyn Ave,Mountain View, CA 94041",4.0,12,http://www.yelp.com/biz/madera-apartments-mountain-view-2
Parker Palo Alto Apartments,1094 Tanland Dr,Palo Alto,CA,94303,+1-888-743-1693,"1094 Tanland Dr,Palo Alto, CA 94303",2.5,28,http://www.yelp.com/biz/parker-palo-alto-apartments-palo-alto-3
Palo Alto Plaza Apartments,541 Del Medio Ave,Mountain View,CA,94040,+1-650-263-4857,"541 Del Medio Ave,Mountain View, CA 94040",3.0,20,http://www.yelp.com/biz/palo-alto-plaza-apartments-mountain-view
Fayette Arms Apartments,2680 Fayette Dr,Mountain View,CA,94040,+1-650-948-5491,"2680 Fayette Dr,Mountain View, CA 94040",3.5,6,http://www.yelp.com/biz/fayette-arms-apartments-mountain-view
California Oaks,2005 California St,Mountain View,CA,94040,+1-650-967-3522,"2005 California St,Ste 1,Mountain View, CA 94040",3.5,7,http://www.yelp.com/biz/california-oaks-mountain-view
Amador Village,24080 Amador Village Ct,Hayward,CA,94544,+1-510-670-8770,"24080 Amador Village Ct,Hayward, CA 94544",3.5,15,http://www.yelp.com/biz/amador-village-hayward
Larkspur Woods Apartments,1957 California St,Mountain View,CA,94040,+1-408-269-6112,"1957 California St,Mountain View, CA 94040",5.0,2,http://www.yelp.com/biz/larkspur-woods-apartments-mountain-view
Avalon Towers on the Peninsula,2400 W El Camino Real,Mountain View,CA,94040,+1-650-528-2130,"2400 W El Camino Real,Mountain View, CA 94040",3.0,20,http://www.yelp.com/biz/avalon-towers-on-the-peninsula-mountain-view
Somerset Place Apartments,2210 Rock St,Mountain View,CA,94043,+1-650-965-4800,"2210 Rock St,Mountain View, CA 94043",5.0,1,http://www.yelp.com/biz/somerset-place-apartments-mountain-view
The Bridge,25800 Industrial Blvd,Hayward,CA,94545,+1-855-496-9331,"25800 Industrial Blvd,Hayward, CA 94545",2.0,56,http://www.yelp.com/biz/the-bridge-hayward
Villa de Wright,1725 Wright Ave,Mountain View,CA,94043,+1-650-961-1608,"1725 Wright Ave,Mountain View, CA 94043",4.0,2,http://www.yelp.com/biz/villa-de-wright-mountain-view
Palmetto Apartments,2235 California St,Mountain View,CA,94040,+1-650-428-1154,"2235 California St,Mountain View, CA 94040",4.0,3,http://www.yelp.com/biz/palmetto-apartments-mountain-view
Greendale Apartments,1200 Dale Ave,Mountain View,CA,94040,+1-650-209-7256,"1200 Dale Ave,Mountain View, CA 94040",4.0,34,http://www.yelp.com/biz/greendale-apartments-mountain-view
Ardenwood Rental Condominiums,5016 Paseo Padre Pkwy,Fremont,CA,94555,+1-510-794-1020,"5016 Paseo Padre Pkwy,Fremont, CA 94555",2.5,21,http://www.yelp.com/biz/ardenwood-rental-condominiums-fremont
Hidden Garden Apartments,1571 W El Camino Real,Mountain View,CA,94040,+1-650-969-9800,"1571 W El Camino Real,Mountain View, CA 94040",5.0,2,http://www.yelp.com/biz/hidden-garden-apartments-mountain-view
Park Taylor Apartments,630 Taylor Ct,Mountain View,CA,94043,+1-650-967-3731,"630 Taylor Ct,Mountain View, CA 94043",5.0,2,http://www.yelp.com/biz/park-taylor-apartments-mountain-view
Central Park at Whisman Station,100 N Whisman Station Dr,Mountain View,CA,94043,+1-650-964-8400,"100 N Whisman Station Dr,Mountain View, CA 94043",3.0,23,http://www.yelp.com/biz/central-park-at-whisman-station-mountain-view-3
The Woodacre Apartments,1260 Ayala Dr,Sunnyvale,CA,94086,+1-650-964-2900,"1260 Ayala Dr,Sunnyvale, CA 94086",4.0,7,http://www.yelp.com/biz/the-woodacre-apartments-sunnyvale
The Americana Apartments,707 Continental Circle,Mountain View,CA,94040,+1-650-968-0700,"707 Continental Circle,Apt 1126,Mountain View, CA 94040",3.0,58,http://www.yelp.com/biz/the-americana-apartments-mountain-view
Greenhaven Apartments,31770 Alvarado Blvd,Union City,CA,94587,+1-510-471-4952,"31770 Alvarado Blvd,Union City, CA 94587",3.0,4,http://www.yelp.com/biz/greenhaven-apartments-union-city-2
Park Place Apartments,851 Church Street,Mountain View,CA,94041,+1-650-961-6500,"851 Church Street,Mountain View, CA 94041",2.5,31,http://www.yelp.com/biz/park-place-apartments-mountain-view
Avalon Mountain View,1600 Villa St,Mountain View,CA,94041,+1-650-528-2128,"1600 Villa St,Mountain View, CA 94041",3.0,33,http://www.yelp.com/biz/avalon-mountain-view-mountain-view
The Californian Apartments,2326 California St,Mountain View,CA,94040,+1-650-968-3379,"2326 California St,Mountain View, CA 94040",2.5,4,http://www.yelp.com/biz/the-californian-apartments-mountain-view
Whitman Green,26379 Whitman St,Hayward,CA,94544,+1-866-960-2088,"26379 Whitman St,Hayward, CA 94544",4.0,6,http://www.yelp.com/biz/whitman-green-hayward
Madrone Apartments,111 N Rengstorff Ave,Mountain View,CA,94043,+1-866-491-3430,"111 N Rengstorff Ave,Mountain View, CA 94043",2.0,11,http://www.yelp.com/biz/madrone-apartments-mountain-view
Del Medio Manor Apartments,141 Del Medio Ave,Mountain View,CA,94040,+1-650-941-4700,"141 Del Medio Ave,Mountain View, CA 94040",2.5,3,http://www.yelp.com/biz/del-medio-manor-apartments-mountain-view
The Fountains,2005 San Ramon Ave,Mountain View,CA,94043,+1-650-966-1060,"2005 San Ramon Ave,Mountain View, CA 94043",3.0,2,http://www.yelp.com/biz/the-fountains-mountain-view
Moffett Manor,555 Walker Drive,Mountain View,CA,94043,+1-650-968-6313,"555 Walker Drive,Mountain View, CA 94043",3.5,3,http://www.yelp.com/biz/moffett-manor-mountain-view
Park Orchard,605 Orchard Ave,Hayward,CA,94544,+1-855-712-7861,"605 Orchard Ave,Hayward, CA 94544",4.5,5,http://www.yelp.com/biz/park-orchard-hayward
Pinecrest Apartments,820 Hancock St,Hayward,CA,94544,+1-855-712-7852,"820 Hancock St,Hayward, CA 94544",5.0,3,http://www.yelp.com/biz/pinecrest-apartments-hayward
City Centre,22800 Meridian Dr.,Hayward,CA,94541,+1-877-871-2137,"22800 Meridian Dr.,Hayward, CA 94541",3.5,24,http://www.yelp.com/biz/city-centre-hayward
Regency at Mountain View,333 Escuela Avenue,Mt. View,CA,94040,+1-866-274-5958,"333 Escuela Avenue,Mt. View, CA 94040",3.0,18,http://www.yelp.com/biz/regency-at-mountain-view-mt-view
Highland Gardens Apartments,234 Escuela Ave,Mountain View,CA,94040,+1-855-826-9632,"234 Escuela Ave,Mountain View, CA 94040",2.5,25,http://www.yelp.com/biz/highland-gardens-apartments-mountain-view
Glenwood Garden Apartments,210 Calderon Ave,Mountain View,CA,94041,+1-650-961-3370,"210 Calderon Ave,Mountain View, CA 94041",4.0,3,http://www.yelp.com/biz/glenwood-garden-apartments-mountain-view
Sylvan Square Apartments,750 Sylvan Ave,Mountain View,CA,94041,+1-650-961-4630,"750 Sylvan Ave,Apt 1,Mountain View, CA 94041",4.0,6,http://www.yelp.com/biz/sylvan-square-apartments-mountain-view
Pepper Tree Apartments,25355 Cypress Ave,Hayward,CA,94544,+1-510-785-8181,"25355 Cypress Ave,Hayward, CA 94544",4.0,4,http://www.yelp.com/biz/pepper-tree-apartments-hayward
Rich Avenue Apartments,912 Rich Ave,Mountain View,CA,94040,+1-650-967-6653,"912 Rich Ave,Mountain View, CA 94040",3.5,3,http://www.yelp.com/biz/rich-avenue-apartments-mountain-view
Monte Sierra Apartments,1901 Montecito Ave,Mountain View,CA,94043,+1-650-965-1122,"1901 Montecito Ave,Mountain View, CA 94043",3.5,13,http://www.yelp.com/biz/monte-sierra-apartments-mountain-view
Woodlark Apartments,44 Harder Rd,Hayward,CA,94544,+1-855-712-7945,"44 Harder Rd,Hayward, CA 94544",5.0,1,http://www.yelp.com/biz/woodlark-apartments-hayward
Heatherstone Apartments by Prometheus,877 Heatherstone Way,Mountain View,CA,94040,+1-866-409-4648,"877 Heatherstone Way,Mountain View, CA 94040",3.0,11,http://www.yelp.com/biz/heatherstone-apartments-by-prometheus-mountain-view
Birch Creek Apartment Homes,575 S. Rengstorff Avenue,Mountain View,CA,94040,+1-877-606-5885,"575 S. Rengstorff Avenue,Mountain View, CA 94040",2.0,31,http://www.yelp.com/biz/birch-creek-apartment-homes-mountain-view
Arbors At Mountain View,2290 California St,Mountain View,CA,94040,+1-650-965-8290,"2290 California St,Mountain View, CA 94040",2.5,2,http://www.yelp.com/biz/arbors-at-mountain-view-mountain-view
eaves Creekside,151 Calderon Ave,Mountain View,CA,94041,+1-650-528-2129,"151 Calderon Ave,Mountain View, CA 94041",2.5,25,http://www.yelp.com/biz/eaves-creekside-mountain-view
Maplewood,1885 California St,Mountain View,CA,94041,+1-650-964-3882,"1885 California St,Mountain View, CA 94041",2.5,13,http://www.yelp.com/biz/maplewood-mountain-view-2
San Veron Park,807 San Veron Ave,Mountain View,CA,94043,+1-650-967-4547,"807 San Veron Ave,Mountain View, CA 94043",3.0,2,http://www.yelp.com/biz/san-veron-park-mountain-view-2
Fayette Town House,2675 Fayette Dr,Mountain View,CA,94040,+1-650-537-8178,"2675 Fayette Dr,Mountain View, CA 94040",3.0,1,http://www.yelp.com/biz/fayette-town-house-mountain-view
Park Place South Apartments,800 High School Way,Mountain View,CA,94041,+1-866-653-6824,"800 High School Way,Mountain View, CA 94041",1.5,25,http://www.yelp.com/biz/park-place-south-apartments-mountain-view-2
600 Whisman Apartments,600 N Whisman Rd,Mountain View,CA,94043,+1-650-564-2220,"600 N Whisman Rd,Mountain View, CA 94043",2.0,7,http://www.yelp.com/biz/600-whisman-apartments-mountain-view-2
Casa Monterey Apartments,155 Acalanes Dr,Sunnyvale,CA,94086,+1-650-968-8644,"155 Acalanes Dr,Sunnyvale, CA 94086",5.0,1,http://www.yelp.com/biz/casa-monterey-apartments-sunnyvale
Solano Apartments,1050 Crestview Dr,Mountain View,CA,94040,+1-650-961-5523,"1050 Crestview Dr,Mountain View, CA 94040",3.5,4,http://www.yelp.com/biz/solano-apartments-mountain-view
Latham Street Apartments,1969 Latham Street,Mountain View,CA,94040,+1-650-961-5030,"1969 Latham Street,Mountain View, CA 94040",1.5,2,http://www.yelp.com/biz/latham-street-apartments-mountain-view
Dana Garden Apartments,200 E Dana St,Mountain View,CA,94041,+1-650-967-3870,"200 E Dana St,Apt E100,Mountain View, CA 94041",3.0,13,http://www.yelp.com/biz/dana-garden-apartments-mountain-view
El Prado,666 S El Monte Ave,Los Altos,CA,94022,+1-650-941-8719,"666 S El Monte Ave,Los Altos, CA 94022",1.0,1,http://www.yelp.com/biz/el-prado-los-altos
Kentfield Apartments,2650 California St Apt 12,Mountain View,CA,94040,+1-650-948-7855,"2650 California St Apt 12,Mountain View, CA 94040",3.0,2,http://www.yelp.com/biz/kentfield-apartments-mountain-view
Riverstone Townhomes,1901 Rock St,Mountain View,CA,94043,+1-650-964-6100,"1901 Rock St,Mountain View, CA 94043",3.0,3,http://www.yelp.com/biz/riverstone-townhomes-mountain-view
Cedars Apartments,201 Cuesta Dr,Los Altos,CA,94022,+1-650-321-1000,"201 Cuesta Dr,Los Altos, CA 94022",1.0,1,http://www.yelp.com/biz/cedars-apartments-los-altos
Woodview Apartments,2309 Rock St,Mountain View,CA,94043,+1-650-969-3732,"2309 Rock St,Mountain View, CA 94043",3.0,2,http://www.yelp.com/biz/woodview-apartments-mountain-view
Santiago Villa,1075 Space Pkwy,Mountain View,CA,94043,+1-650-969-0102,"1075 Space Pkwy,Mountain View, CA 94043",1.0,2,http://www.yelp.com/biz/santiago-villa-mountain-view-2
Park Plaza Apartments,1929 Crisanto Ave,Mountain View,CA,94040,+1-650-968-9235,"1929 Crisanto Ave,Mountain View, CA 94040",4.0,1,http://www.yelp.com/biz/park-plaza-apartments-mountain-view
eaves Mountain View at Middlefield,555 W Middlefield Rd,Mountain View,CA,94043,+1-650-528-2127,"555 W Middlefield Rd,Mountain View, CA 94043",1.5,6,http://www.yelp.com/biz/eaves-mountain-view-at-middlefield-mountain-view
Camille Apartments,2645 California St,Mountain View,CA,94040,+1-650-941-3299,"2645 California St,Mountain View, CA 94040",1.0,2,http://www.yelp.com/biz/camille-apartments-mountain-view
Tyrella Garden Apartments,449 Tyrella Ave,Mountain View,CA,94043,+1-650-964-2874,"449 Tyrella Ave,Mountain View, CA 94043",2.5,2,http://www.yelp.com/biz/tyrella-garden-apartments-mountain-view
Meadowood Apartments,1555 W Middlefield Road,Mountain View,CA,94043,+1-650-964-8511,"1555 W Middlefield Road,Mountain View, CA 94043",2.0,1,http://www.yelp.com/biz/meadowood-apartments-mountain-view
Shadows Apartments,750 N Shoreline Blvd,Mountain View,CA,94043,+1-650-263-4861,"750 N Shoreline Blvd,Mountain View, CA 94043",3.5,19,http://www.yelp.com/biz/shadows-apartments-mountain-view
Mission Heights Apartments,28500 Mission Blvd,Hayward,CA,94544,+1-855-712-7859,"28500 Mission Blvd,Hayward, CA 94544",2.5,8,http://www.yelp.com/biz/mission-heights-apartments-hayward
City View,25200 Carlos Bee Boulevard,Hayward,CA,94542,+1-866-771-9402,"25200 Carlos Bee Boulevard,Hayward, CA 94542",2.0,45,http://www.yelp.com/biz/city-view-hayward
Whitman Villa Townhomes,25455 Whitman St,Hayward,CA,94544,+1-510-582-0188,"25455 Whitman St,Hayward, CA 94544",5.0,1,http://www.yelp.com/biz/whitman-villa-townhomes-hayward
Spartan Royal Apartments,794 Fletcher Ln,Hayward,CA,94544,+1-510-537-1505,"794 Fletcher Ln,Hayward, CA 94544",5.0,1,http://www.yelp.com/biz/spartan-royal-apartments-hayward
Village Lake,777 W Middlefield Rd,Mountain View,CA,94043,+1-855-453-6810,"777 W Middlefield Rd,Mountain View, CA 94043",3.0,9,http://www.yelp.com/biz/village-lake-mountain-view
Shoreline Village Apartments,505 Central Ave,Mountain View,CA,94043,+1-650-968-8384,"505 Central Ave,Mountain View, CA 94043",2.0,4,http://www.yelp.com/biz/shoreline-village-apartments-mountain-view
Park Square Apartments,1285 Montecito Ave,Mountain View,CA,94043,+1-650-988-1285,"1285 Montecito Ave,Mountain View, CA 94043",4.0,2,http://www.yelp.com/biz/park-square-apartments-mountain-view
Paraiso Apartments,963 W Tennyson Rd,Hayward,CA,94544,+1-510-783-1998,"963 W Tennyson Rd,Hayward, CA 94544",1.5,5,http://www.yelp.com/biz/paraiso-apartments-hayward
Casa Real Apartments,1244 Balboa Ct,Sunnyvale,CA,94086,+1-650-964-8462,"1244 Balboa Ct,Apt 16,Sunnyvale, CA 94086",4.0,1,http://www.yelp.com/biz/casa-real-apartments-sunnyvale
Spieker Company,1970 Latham Street,Mountain View,CA,94040,+1-650-961-6135,"1970 Latham Street,Mountain View, CA 94040",3.5,4,http://www.yelp.com/biz/spieker-company-mountain-view
